source_text,target_text
壁に 地図が はって あります。,墙上贴着地图。
交番は どこに あるか、知って いますか。,你知道派出所在哪里吗？
旅行の まえに、案内書を 読んで おきます。,旅行之前，先看下指南。
鋏を 使ったら、元の 所に 戻して ください。,用完剪刀请放回原处。
来月 車を 買う つもりです。,打算下个月买车。
明日から 日記を 書く ことに します。,从明天起决定写日记。
毎日 運動した ほうが、いいです。,每天运动一下比较好。
明日は 寒く なるでしょう。,明天会变冷吧。
約束の 時間に 間に合わない かもしれません。,可能赶不上约定的时间。
「立入禁止」は 入るなと いう 意味です。,“立入禁止”是不能进去的意思。
田中さんは 明日 休むと 言っていました。,田中先生说他明天请假。
私が 言う とおりに、書いて ください。,请按照我说的去写。
ご飯を 食べた あとで、歯を 磨きます。,吃完饭后刷牙。
春に なれば、桜が 咲きます。,一到春天，樱花就开了。
天気が よければ、向こうに 島が 見えます。,如果天气好，能看到对面的岛。
一生懸命 勉強したのに、不合格でした。,虽然拼命学习了，但还是没及格。
明日 雨が 降っても、サッカーを します。,即使明天打雨，也要踢足球。
日本語が 話せるように なりました。,变得会说日语了。
毎日 練習するように して います。,争取每天都练习。
忘れないように、メモを 取ります。,为了不忘记，做个笔记。
私は 部長に 褒められました。,我被部长表扬了。
泥棒に 財布を 取られました。,钱包被小偷偷了。
この 美術館は 来月 壊されます。,这座美术馆下个月将被拆除。
お菓子を 作るのは おもしろいです。,做点心很有趣。
私は 泳ぐのが 好きです。,我喜欢游泳。
ニュースを 聞いて、びっくりしました。,听了新闻大吃一惊。
気分が 悪くて、早退しました。,因为感觉不舒服，所以早退了。
地震で ビルが 倒れました。,大楼因地震倒塌了。
道が 狭くて、不便です。,道路狭窄，不方便。
107便は 何時に 到着するか、調べて ください。,请查一下107航班几点到达。
忘年会に 行けるかどうか、返事を ください。,请回复能否参加忘年会。
この 荷物の 重さを 測って ください。,请称一下这个行李的重量。
試しに この 靴を 履いて みます。,试穿一下这双鞋。
お酒を 飲みすぎて、頭が 痛いです。,酒喝多了，头疼。
お酒を 飲みすぎて、入院しました。,酒喝得太多，住院了。
この パソコンは 使いやすいです。,这台电脑很好用。
この ズボンは 短すぎて、履けません。,这条裤子太短了，穿不上。
雨が 降りそうです。,看起来快要下雨了。
ちょっと 買い物に 行って 来ます。,去买点东西就回来。
部長は 明日 東京へ 出張に 行かれます。,部长明天要去东京出差。
社長は もう お帰りに なりました。,总经理已经回去了。
ここで 写真を 撮らないで ください。,请不要在这里拍照。
すみませんが、コピーさせて いただけませんか。,对不起，可以让我复印一下吗？
先生は 毎日 私たちに 漢字を 書かせます。,老师每天让我们写汉字。
息子を イギリスへ 留学させます。,让儿子去英国留学。
昨日 会議が あったかどうか、教えて ください。,请告诉昨天的会议开了没有。
これは 日本で 撮った 写真です。,这是在日本拍的照片。
約束を したのに、彼女は 来ませんでした。,明明约好了，她却没有来。
あしたは 寒く なるそうです。,听说明天会变冷。
今 ちょうど 10時です。,现在正好10点。
会議は 今から 始まる ところです。,会议现在正要开始。
今 ちょうど 昼ご飯を 食べた ところです。,刚刚正好吃完午饭。
ミラーさんは どこに 住んで いますか。,米勒先生住在哪里？
田中さんは 今 会議室に います。,田中先生现在在会议室。
エレベーターが 動かない 場合は、階段を 使って ください。,电梯不走的时候，请走楼梯。
火事に なった 場合は、すぐに 119番を かけて ください。,如果发生火灾，请立即拨打119。
遅刻した 場合は、教室に 入れません。,如果迟到了，就不能进入教室。
お忙しい ところを、すみません。,百忙之中打扰您，真对不起。
明日まで レポートを 出さなければ なりません。,必须在明天之前交报告。
